DATE,BI-COLOR,WHITE,YELLOW
1/10/1998,11.52083333,12.83653846,11.74038462
1/17/1998,14.375,13.97916667,13.21153846
1/24/1998,13.725,12.97395833,11.09615385
1/31/1998,13.83333333,13.57291667,10.88392857
2/7/1998,15.80555556,15.28333333,14.46875
2/14/1998,16.375,15.98076923,16.62083333
2/21/1998,16.80357143,16.82692308,16.15833333
2/28/1998,16.83333333,16.36363636,15.52678571
3/7/1998,17.05,15.39772727,13.70089286
3/14/1998,16.4,14.4375,13.13942308
3/21/1998,15.25,14.90384615,12.84615385
3/28/1998,13.25,15.125,13.19270833
4/4/1998,12.97916667,14.54807692,13.23076923
4/11/1998,13.375,15.69791667,13.50520833
4/18/1998,13.48611111,15.54464286,13.49107143
4/25/1998,14.98611111,17.14285714,15.5375
5/2/1998,15.4375,17.3203125,15.73611111
5/9/1998,12.234375,13.87847222,12.95138889
5/16/1998,10.234375,10.81911765,10.55625
5/23/1998,10.15972222,10.58333333,10.08854167
5/30/1998,9.53125,10.79166667,9.3
6/6/1998,9.75,9.741666667,8.2125
6/13/1998,8.024038462,8.117647059,7.202205882
6/20/1998,7.365384615,8.086805556,7.53125
6/27/1998,9.116666667,8.95,7.858552632
7/4/1998,9.75,9.25297619,8.622159091
7/11/1998,9.159722222,8.38,8.431034483
7/18/1998,9.223214286,8.105769231,7.950892857
7/25/1998,8.553571429,8.6,8.221428571
8/1/1998,7.614130435,8.642857143,8.109375
8/8/1998,7.976190476,8.298076923,7.602083333
8/15/1998,8.796875,9.365740741,8.197115385
8/22/1998,8.517857143,9.241666667,8.256696429
8/29/1998,7.802083333,8.204545455,7.632575758
9/5/1998,8.83125,8.415178571,8.051339286
9/12/1998,9.833333333,10.55978261,9.24537037
9/19/1998,11.046875,11.34821429,10.73798077
9/26/1998,13.234375,11.50328947,11.24519231
10/3/1998,13.425,11.87228261,11.83482143
10/10/1998,14.74,12.34090909,13.1948
10/17/1998,15.89142857,13.46527778,14.28138889
10/24/1998,15.29625,15.20833333,15.54605263
10/31/1998,17.38375,16.51041667,16.88815789
11/7/1998,15.42125,16.17307692,16.01470588
11/14/1998,13.980625,14.16666667,14.15416667
11/21/1998,12.8225,12.69444444,12.5078125
11/28/1998,12.88916667,13.3,12.27205882
12/5/1998,11.47916667,11.9375,11.39473684
12/12/1998,11.27857143,10.4765625,9.819444444
12/19/1998,9.7675,10.25,9.125
12/26/1998,7.97,9.727678571,8.758333333
1/2/1999,8.841666667,9.808333333,8.558333333
1/9/1999,9.133333333,10.20535714,9.691666667
1/16/1999,12.734,12.43269231,12.40625
1/23/1999,17.60833333,14.88541667,14.5625
1/30/1999,15.49666667,14.63636364,13.52678571
2/6/1999,16.244,14.68055556,12.31730769
2/13/1999,11.8575,13.4125,10.84615385
2/20/1999,11.67916667,11.625,10.11785714
2/27/1999,13.48785714,11.52272727,11.11785714
3/6/1999,14.83,13.2125,12.43229167
3/13/1999,14.84583333,13.8,12.53333333
3/20/1999,14.1125,13.75,12.60416667
3/27/1999,13.36,12.86363636,12.49519231
4/3/1999,12.82785714,11.63636364,11.54326923
4/10/1999,11.93071429,11.4,10.828125
4/17/1999,11.0525,11.71875,10.45192308
4/24/1999,10.62625,12.06875,10.89583333
5/1/1999,11.0525,12.52083333,11.57142857
5/8/1999,10.99375,11.96153846,11.15833333
5/15/1999,11.6596875,11.48214286,10.69027778
5/22/1999,11.248125,11.70192308,11.203125
5/29/1999,11.77071429,11.94444444,11.564625
6/5/1999,11.035,11.0234375,10.80880952
6/12/1999,10.49888889,10.39423077,10.25485294
6/19/1999,9.912,9.25,9.159558824
6/26/1999,10.08875,9.682692308,9.15775
7/3/1999,10.93055556,10.6640625,9.829166667
7/10/1999,10.15384615,9.492647059,9.1525
7/17/1999,8.911538462,7.621875,7.4225
7/24/1999,8.2575,7.232638889,6.980113636
7/31/1999,6.666666667,7.63671875,7.200892857
8/7/1999,7.65,7.835227273,7.649193548
8/14/1999,8.185,8.75,8.37125
8/21/1999,7.145833333,8.1125,7.806818182
8/28/1999,7.8125,8.092105263,7.825
9/4/1999,8.486111111,8.666666667,8.401785714
9/11/1999,8.977272727,9.463235294,8.807065217
9/18/1999,9.402777778,9.334375,8.328703704
9/25/1999,8.05,9.148026316,8.2275
10/2/1999,9.8125,9.571875,8.991
10/9/1999,11.85416667,9.757352941,9.80625
10/16/1999,11.575,10.12109375,9.479166667
10/23/1999,10.85714286,10.21875,9.104166667
10/30/1999,9.5,10.88541667,9.508928571
11/6/1999,10.25,13.02083333,11.6775
11/13/1999,13.5,14.59583333,13.74402174
11/20/1999,16.35,16.29166667,15.5171875
11/27/1999,18.25,18.40625,15.996875
12/4/1999,16.625,17.275,16.13815789
12/11/1999,18.125,18.33333333,18.17857143
12/18/1999,17.7375,20.36666667,19.27403846
12/25/1999,17.7,20.91428571,20.52125
1/1/2000,19.5,20.65,20.08
1/8/2000,21.41666667,20.08333333,21.49479167
1/15/2000,19,21.9375,22.35384615
1/22/2000,20.83333333,19.29166667,19.325
1/29/2000,13.75,16.25,14.22159091
2/5/2000,13.25,15.375,12.29166667
2/12/2000,14.5,15.3125,11.90865385
2/19/2000,16,14.51136364,12.59166667
2/26/2000,13,13.45833333,12.01041667
3/4/2000,12.83333333,12.79861111,11.17692308
